0.021195 0.014017 0.011058 0.009011 0.006614 0.009881 0.009348 0.008523 0.007828 0.007083 0.005924 0.004917 0.003791 0.003297 0.002968 0.002649 0.00161 0.001218 0.000947 
0.0133555 0.009685 0.008257 0.006921 0.005583 0.004468 0.008641 0.006854 0.005602 0.004693 0.003448 0.002624 0.002205 0.00204 0.001911 0.001732 0.001348 0.001307 0.001359 
0.009567 0.008255 0.007072 0.006007 0.005049 0.003763 0.004128 0.006111 0.004805 0.003897 0.002764 0.002044 0.001768 0.001691 0.001654 0.001567 0.001143 0.000323 0.000355 
0.008736 0.007555 0.0065 0.005553 0.004713 0.003888 0.002322 0.004531 0.004643 0.003682 0.002508 0.001805 0.001589 0.001557 0.001564 0.001525 0.001123 0.000801 0.000208 
0.007828 0.006804 0.005887 0.005083 0.004361 0.003707 0.002808 0.001426 0.004472 0.003592 0.002246 0.001599 0.001436 0.001447 0.001479 0.001476 0.001194 0.000696 0 
0.007458 0.006502 0.005671 0.004904 0.004226 0.003608 0.002965 0.001746 0.0029 0.003605 0.002147 0.001543 0.001389 0.001409 0.001446 0.001455 0.001213 0.000668 0.000899 
0.00721 0.006291 0.005486 0.00476 0.004121 0.003532 0.00297 0.001936 0.00225 0.003288 0.002073 0.001505 0.001354 0.001377 0.00142 0.001437 0.001238 0.000663 0.000885 
0.007013 0.006137 0.00535 0.004662 0.00403 0.003477 0.002944 0.002055 0.001071 0.002694 0.002012 0.001472 0.001326 0.001353 0.001399 0.001422 0.00125 0.000673 0.000875 
0.006826 0.005984 0.005248 0.004566 0.003969 0.003428 0.002922 0.002143 0.001151 0.002408 0.00197 0.001445 0.001303 0.001334 0.001381 0.001409 0.001256 0.000684 0.000762 
0.006557 0.00576 0.005052 0.00443 0.003846 0.003349 0.002881 0.002294 0.001451 0.0019 0.001909 0.001403 0.001268 0.001301 0.001353 0.001387 0.001268 0.000703 0.000839 
0.006371 0.005607 0.004924 0.004309 0.00376 0.003274 0.002836 0.002366 0.00159 0.000744 0.001875 0.001372 0.001239 0.001275 0.00133 0.001368 0.001278 0.000722 0.000813 
0.006199 0.005456 0.00481 0.00422 0.003691 0.003218 0.002801 0.002374 0.001689 0.000968 0.001856 0.001347 0.001217 0.001255 0.001311 0.001353 0.001282 0.000743 0.00079 
0.006052 0.00534 0.004706 0.004151 0.003633 0.003181 0.002769 0.002376 0.001766 0.001144 0.00185 0.001328 0.001199 0.001238 0.001296 0.001341 0.001283 0.000761 0.000783 
0.005843 0.005172 0.004566 0.004011 0.003536 0.003103 0.002718 0.002353 0.001904 0.001323 0.001589 0.001298 0.00117 0.001208 0.00127 0.00132 0.001284 0.000786 0.000738 
0.005466 0.004849 0.0043 0.003802 0.003378 0.002974 0.002618 0.002285 0.001959 0.001526 0.000519 0.001252 0.001129 0.001159 0.001225 0.001281 0.001285 0.000825 0.000679 
0.005237 0.004652 0.004132 0.003677 0.00326 0.002884 0.002545 0.002229 0.001932 0.001632 0.000922 0.001227 0.001098 0.001127 0.001195 0.001257 0.001279 0.000865 0.000663 



0.046134 0.044859 0.042946 0.038573 0.035958 0.028692 0.024791 0.023743 0.023302 0.024586 0.027772 0.032972 0.054769 0.095888 0.120357 0.180161 0.512613 0.648995 0.776861 
0.007812 0.006993 0.006857 0.007296 0.007945 0.00887 0.008672 0.010253 0.011938 0.013804 0.018631 0.027162 0.047668 0.076768 0.116003 0.162733 0.265 0.499132 0.747506 
0.004182 0.00451 0.005045 0.005777 0.006718 0.007912 0.008656 0.008938 0.010481 0.012146 0.016324 0.025597 0.04233 0.063794 0.094636 0.136517 0.25162 0.453164 0.768018 
0.003543 0.00402 0.00464 0.005426 0.006378 0.00748 0.00882 0.008768 0.00952 0.011031 0.015215 0.024778 0.03887 0.056865 0.082513 0.118686 0.228921 0.400344 0.770124 
0.003208 0.003734 0.004385 0.005154 0.006024 0.006968 0.007998 0.009303 0.008437 0.009818 0.014424 0.023432 0.03481 0.049544 0.070695 0.100998 0.197397 0.379732 0.64147 
0.003134 0.003683 0.004324 0.005069 0.005882 0.006778 0.007683 0.008805 0.008799 0.009383 0.014216 0.022641 0.033155 0.046986 0.066563 0.095377 0.187851 0.364328 0.539038 
0.003091 0.003643 0.004272 0.004976 0.00576 0.006618 0.007466 0.008499 0.008784 0.00926 0.01408 0.022 0.031677 0.044594 0.063469 0.090458 0.177136 0.353887 0.535201 
0.003069 0.003604 0.004225 0.00491 0.005671 0.006467 0.007306 0.00823 0.009433 0.009478 0.014044 0.021502 0.030652 0.042959 0.060727 0.086423 0.170053 0.339217 0.532287 
0.003049 0.003572 0.004191 0.004865 0.005603 0.006343 0.007127 0.008037 0.009226 0.00947 0.013936 0.021018 0.029656 0.041676 0.058672 0.083509 0.165771 0.329467 0.496084 
0.003013 0.003531 0.004118 0.004769 0.005469 0.006165 0.006894 0.007747 0.00883 0.009462 0.013779 0.020266 0.028252 0.039239 0.055731 0.079324 0.156631 0.318748 0.521036 
0.002996 0.003508 0.004086 0.004715 0.005375 0.006034 0.006748 0.0075 0.00862 0.010442 0.013586 0.019634 0.027004 0.0376 0.052979 0.075297 0.149053 0.30917 0.511715 
0.00299 0.003502 0.004066 0.004669 0.005313 0.005944 0.006575 0.007339 0.008494 0.010252 0.013431 0.01916 0.026123 0.036255 0.050902 0.072413 0.143705 0.299103 0.503359 
0.002989 0.003499 0.004043 0.004628 0.005225 0.00582 0.006485 0.007254 0.008418 0.010167 0.01327 0.018679 0.025356 0.035022 0.049408 0.070254 0.139794 0.291338 0.500382 
