80	0.241745723	1.326712771	70	0.475746647	1.205187907	70	0.475746647	1.205187907	40	0.96338304	0.550282377	50	0.83633868	0.790642541
90	8.39468E-17	1.371	80	0.243092014	1.326899586	80	0.243092014	1.326899586	50	0.845411815	0.790957686	60	0.679965435	1.017442943
100	-0.169222006	1.326712771	90	8.39468E-17	1.371	90	8.39468E-17	1.371	60	0.684821513	1.017688082	70	0.477848153	1.203231004
110	-0.329191182	1.204819954	100	-0.17016441	1.326899586	100	-0.17016441	1.326899586	70	0.479942236	1.203398688	80	0.243608909	1.32590604
120	-0.463679502	1.019765833	110	-0.333022653	1.205187907	110	-0.333022653	1.205187907	80	0.244123978	1.325991176	90	8.39468E-17	1.371
130	-0.562462571	0.793628792	120	-0.472564501	1.020303745	120	-0.472564501	1.020303745	90	8.39468E-17	1.371	100	-0.170526236	1.32590604
140	-0.624730868	0.553465677	130	-0.57906337	0.794320317	130	-0.57906337	0.794320317	100	-0.170886784	1.325991176	110	-0.334493707	1.203231004
150	-0.665586659	0.328054992	140	-0.65282971	0.554289805	140	-0.65282971	0.554289805	110	-0.335959565	1.203398688	120	-0.475975804	1.017442943
160	-0.738780955	0.144431517	150	-0.711754465	0.328986683	150	-0.711754465	0.328986683	120	-0.479375059	1.017688082	130	-0.585437076	0.790642541
170	-0.887079646	0.024630162	160	-0.818244498	0.14544246	160	-0.818244498	0.14544246	130	-0.59178827	0.790957686	140	-0.66361797	0.549906803
180	0	0.01	170	-0.86613033	0.025689641	170	-0.86613033	0.025689641	140	-0.674368128	0.550282377	150	-0.729480119	0.324031629
99990	99991	99992	180	0	0.01	180	0	0.01	150	-0.747143167	0.324456222	160	-0.848753707	0.140065911
99991	99992	99993	99991	99992	99993	99991	99992	99993	160	-0.879155159	0.140526622	170	-0.927442997	0.020054962
99992	99993	99994	99992	99993	99994	99992	99993	99994	170	-0.845789474	0.020537791	180	0	0.01
99993	99994	99995	99993	99994	99995	99993	99994	99995	180	0	0.01	99990	99991	99992
